cmd,arg0,arg1,arg2,arg3
,,,,
select,bg00_planet05.png,,,
out,bg00_planet05.png,,,
in,bg01_planet05.png,,,
bgm,music05.mp3,,,
high,32,0.23,,
high,75,0.2,,
high,202,0.24,,
high,282,0.26,,
high,310,0.32,,
high,340,0.28,,
low,8,0.45,,
low,38,0.45,,
low,75,0.45,,
low,95,0.45,,
low,122,0.45,,
low,135,0.45,,
low,153,0.45,,
low,167,0.45,,
low,198,0.45,,
low,225,0.45,,
low,248,0.45,,
low,269,0.45,,
low,279,0.45,,
low,296,0.45,,
low,310,0.45,,
low,323,0.45,,
low,336,0.45,,
low,346,0.45,,
,,,,
round,,,,
high,2,,,
low,3,,,
prices,0,0,0,0
squad,2,99,3,0
ptrn,bat,high,1,
ptrn,zombie,low,0.3,
ptrn,balloon,low,0.2,
,,,,
round,,,,
high,2,,,
low,3,,,
prices,1,1,1,1
squad,2,99,3,0
ptrn,bat,high,1,
ptrn,zombie,low,0.3,
ptrn,balloon,low,0.2,

